geo_id,geo_int,name,total_housing_units,owner_occupied,renter_occupied,total_occupied
0400000US01,1,Alabama,2171853,1312589,571202,1883791
0400000US02,2,Alaska,306967,162765,95293,258058
0400000US04,4,Arizona,2844526,1571687,809303,2380990
0400000US05,5,Arkansas,1316299,768156,378928,1147084
0400000US06,6,California,13680081,7035371,5542127,12577498
0400000US08,8,Colorado,2212898,1293100,679768,1972868
0400000US09,9,Connecticut,1487891,925286,445801,1371087
0400000US10,10,Delaware,405885,246724,95573,342297
0400000US11,11,District of Columbia,296719,112055,154652,266707
0400000US12,12,Florida,8989580,4998979,2421823,7420802
0400000US13,13,Georgia,4088801,2354402,1231182,3585584
0400000US15,15,Hawaii,519508,262682,192656,455338
0400000US16,16,Idaho,667796,404903,174505,579408
0400000US17,17,Illinois,5296715,3263639,1573333,4836972
0400000US18,18,Indiana,2795541,1747975,754179,2502154
0400000US19,19,Iowa,1336417,880635,340941,1221576
0400000US20,20,Kansas,1233215,753532,358564,1112096
0400000US21,21,Kentucky,1927164,1181271,538694,1719965
0400000US22,22,Louisiana,1964981,1162299,566061,1728360
0400000US23,23,Maine,721830,397417,159802,557219
0400000US24,24,Maryland,2378814,1455775,700636,2156411
0400000US25,25,Massachusetts,2808254,1587158,959917,2547075
0400000US26,26,Michigan,4532233,2793342,1079166,3872508
0400000US27,27,Minnesota,2347201,1523859,563368,2087227
0400000US28,28,Mississippi,1274719,777073,338695,1115768
0400000US29,29,Missouri,2712729,1633610,742001,2375611
0400000US30,30,Montana,482825,278418,131189,409607
0400000US31,31,Nebraska,796793,484730,236400,721130
0400000US32,32,Nevada,1173814,591480,414770,1006250
0400000US33,33,New Hampshire,614754,368316,150657,518973
0400000US34,34,New Jersey,3553562,2102465,1111895,3214360
0400000US35,35,New Mexico,901388,542122,249273,791395
0400000US36,36,New York,8108103,3897837,3419918,7317755
0400000US37,37,North Carolina,4327528,2497900,1247255,3745155
0400000US38,38,North Dakota,317498,183943,97249,281192
0400000US39,39,Ohio,5127508,3111054,1492381,4603435
0400000US40,40,Oklahoma,1664378,981760,478690,1460450
0400000US41,41,Oregon,1675562,944485,574453,1518938
0400000US42,42,Pennsylvania,5567315,3491722,1527182,5018904
0400000US44,44,Rhode Island,463388,250952,162648,413600
0400000US45,45,South Carolina,2137683,1248805,552376,1801181
0400000US46,46,South Dakota,363438,219558,102724,322282
0400000US47,47,Tennessee,2812133,1700592,792960,2493552
0400000US48,48,Texas,9977436,5685353,3237580,8922933
0400000US49,49,Utah,979709,618137,259555,877692
0400000US50,50,Vermont,322539,181407,75035,256442
0400000US51,51,Virginia,3364939,2055186,1000872,3056058
0400000US53,53,Washington,2885677,1673920,946156,2620076
0400000US54,54,West Virginia,881917,561013,202818,763831
0400000US55,55,Wisconsin,2624358,1551558,728210,2279768
0400000US56,56,Wyoming,261868,157077,69802,226879
0400000US72,72,Puerto Rico,1636946,986165,390366,1376531