Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Arab World,ARB,65118.43887,74328.77559,87870.79718,103193.2147,123814.2391,139028.5762,149673.1065,178736.3445,213030.0844,220532.643,250895.2478,272859.6853,318590.7894,310912.0456,307788.4265,373494.5422,395282.7944,425913.3477,456158.4957,508779.1802,497484.9666,476952.0349,508650.7117,554903.0308,587111.911,648119.7513,649375.0718,688260.6418,699352.9764,706969.3213,748681.1976,810302.016,887592.317,908319.7867,877810.3608,870377.449,846735.2838,920191.5278,935582.0455,1067760.727,1040837.613,1061156.46,1163425.423,1221921.407,1302599.074,1352572.95,1422770.331,1510748.995,,,,
Caribbean small states,CSS,8797.323671,11776.29215,5976.30297,10652.29171,11915.8739,11754.25292,14027.96622,14016.94661,14869.12995,20970.32185,25073.29076,25594.88574,30693.29294,29495.82842,31604.24754,34788.91544,38634.76007,37121.40001,37551.16488,38851.47911,32566.627,31620.541,28631.936,28899.627,31976.24,27902.203,29247.992,27154.135,29922.72,32005.576,36589.326,36218.959,32584.962,35844.925,38386.156,39669.606,37810.437,37344.728,41224.414,43457.617,44568.718,46053.853,47197.957,51213.322,50388.247,56031.76,60487.165,71543.17,,,,
East Asia & Pacific (all income levels),EAS,1049577.088,954081.3742,998238.9609,1050505.5,1139112.581,1230145.902,1237557.31,1374382.14,1606114.695,1973716.748,2129147.165,2266542.477,2492251.958,2487835.878,2624192.985,2749552.535,2972392.12,3170500.179,3276018.889,3250234.325,3205966.004,3325289.133,3434600.999,3670470.058,3840891.413,3974578.85,4155549.11,4493833.387,4623534.858,4759929.044,4989592.502,5222604.137,5497662.651,5815535.564,6183831.36,6483817.666,6600677.582,6269337.802,6338018.194,6560793.622,6697771.596,7002161.386,7925675.462,8831180.634,9361048.976,9973087.532,10469414.84,10757083.97,,,,
East Asia & Pacific (developing only),EAP,636255.7784,517482.4475,514652.0433,518872.2034,563970.7599,617270.8334,529305.1594,579817.8916,701290.3838,916350.2105,1031344.714,1093344.571,1145936.499,1162988.604,1331488.607,1394957.638,1538563.731,1709931.232,1752194.201,1728579.292,1718060.16,1854667.172,1956580.812,2108830.417,2281398.613,2394230.374,2552278.365,2739538.294,2791783.438,2895367.61,3088068.457,3247362.952,3482381.993,3694453.975,4027156.487,4235950.851,4298852.041,4048977.446,4078685.159,4227383.152,4375765.617,4615783.234,5508464.627,6353836.845,6892794.561,7491421.64,7938274.134,8259297.797,,,,
Euro area,EMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2718904.688,2655681.737,2587669.888,2581736.682,2647915.031,5156718.75,2661160.235,2712190.207,2589925.093,2612638.491,2677408.712,2674075.409,2735824.022,2752241.181,2735853.358,2717613.7,2684247.667,2633269.033,,,,
Europe & Central Asia (all income levels),ECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7893491.312,7448689.375,6977209.303,6961099.673,7008559.756,6733328.701,6682933.093,6486146.576,6548009.074,6634269.445,6617089.291,6817453.478,6870850.659,6859622.28,6978317.595,6985932.995,6984333.614,,,,
Europe & Central Asia (developing only),ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3892957.481,3549020.556,3103680.316,3012460.298,2948037.079,2767499.296,2693215.942,2665141.182,2711331.415,2715337.898,2726505.373,2835906.965,2874844.399,2891935.299,3002965.416,3070293.205,3130065.103,,,,
European Union,EUU,2429999.986,2570388.998,2745644.318,2860817.703,2957598.027,3046079.798,3115053.777,3295573.105,3497649.058,3728971.218,3821932.556,3973757.882,4176623.437,4116366.035,4038654.836,4302660.288,4288060.409,4429971.855,4618273.656,4489960.896,4238831.619,4143181.508,4083724.029,4056934.36,4162653.175,4152641.239,4231931.64,4176607.955,4304208.526,4134263.66,4232256.77,4125165.981,4031312.783,3986344.362,4071807.464,4177431.732,4063347.695,4069526.59,3870998.877,3888831.498,3974257.93,3945171.286,4036684.938,4050725.881,4023175.71,4037117.644,3980906.201,3906818.133,,,,
Heavily indebted poor countries (HIPC),HPC,20687.11625,20646.24793,21841.48526,23559.35489,27569.94545,28593.60095,30881.54738,35787.23023,39495.83258,43009.14711,46195.42104,47361.13102,50813.85294,51901.84892,51809.33226,50462.28962,52264.51425,54396.0982,55188.04085,59758.36409,58640.76278,59947.09809,60346.77008,58566.74945,62293.32071,54932.69486,61238.63073,66401.06062,70345.97121,62704.0947,61786.32938,63740.28134,67581.57326,68491.93724,73548.19083,77010.58496,80148.14893,76416.29343,76881.39115,78697.487,80773.009,83783.616,91546.655,97949.237,101260.538,104773.524,115858.865,117732.702,,,,
High income,HIC,5804884.47,6073385.961,6414586.914,6742542.628,7039764.1,7348164.419,7676013.148,8083189.953,8604127.48,9356019.487,9542782.334,10023259.96,10634733.06,10360912.69,10030138.31,10566281.03,10803586.01,11102918.87,11377066.58,11118668.27,10650470.19,10250006.27,10239801.34,10510232.12,10629868,10665810.32,10965884.61,11365862.26,11647180.11,11572223.94,11763118.93,11821695.92,12122101.44,12251222.49,12327656.75,12637627.15,12744099.44,12657791.41,12631439.72,12883750.18,12800315.4,12896216.89,13132180.63,13347686.17,13387345.98,13353219.58,13422659.15,13284522.21,,,,
High income: nonOECD,NOC,45294.87416,58207.41762,64249.90193,79910.46905,89871.56399,90691.09763,110597.4511,117581.303,155869.7566,191830.2595,225672.644,255575.7243,298341.9196,294909.3802,288194.747,345411.6564,372103.9068,395807.0369,421216.539,465281.3191,449076.7239,432490.2894,446899.5069,465853.17,495376.2316,548377.609,534662.0352,575195.3944,608214.0753,634125.6672,684211.6506,742303.002,819502.236,846969.3176,777990.4977,786843.5889,782586.9979,823298.8572,839259.1421,972654.2141,949586.7356,980723.1965,1037105.645,1106281.043,1165881.041,1202714.845,1253002.103,1311949.321,,,,
High income: OECD,OEC,5775895.956,6031843.569,6367836.891,6680574.189,6968389.04,7276894.612,7585121.078,7986318.284,8469174.263,9186113.251,9338369.204,9789333.317,10358363,10087253.42,9762416.09,10240900.79,10451268.07,10726954.16,10975608.1,10670726.79,10217878.72,9833370.36,9808193.436,10059810.81,10149206.55,10130305.38,10445542.31,10804725.99,11052673.95,10950607.67,11090147.92,11093668.76,11320223.35,11423024.03,11564753.58,11865707.94,11976011.3,11851223.29,11809771.52,11934944.56,11873573.65,11939726.33,12121697.54,12271105.79,12254105.58,12185077.97,12206639.93,12012813.31,,,,
Latin America & Caribbean (all income levels),LCN,299853.0823,318072.1176,318304.5415,344560.9456,356856.92,375555.7983,403210.4945,430197.9092,465507.5993,513559.3678,541588.9413,568328.937,620350.6558,656305.1349,668507.39,700233.2534,732296.5063,788902.9742,844590.9927,887885.5686,878408.6713,901668.3169,867852.8031,885598.357,904869.5639,939176.1355,986578.307,1010534.243,1028137.659,1030525.007,1049938.61,1071552.171,1101789.42,1154104.957,1180545.684,1226189.703,1282128.829,1332993.483,1363612.716,1352871.624,1388486.626,1398826.707,1418431.261,1440033.373,1485617.428,1523364.907,1593271.951,1676517.286,,,,
Latin America & Caribbean (developing only),LAC,287958.509,302897.867,309142.768,331973.51,342343.786,361929.233,387719.244,414679.028,449178.164,490318.237,514410.427,540640.478,589008.208,624002.389,635421.427,661966.84,689766.367,749032.421,801815.219,842749.94,838342.206,860490.886,829746.758,845958.565,861829.341,898770.699,944703.541,969488.794,985916.954,986162.643,1000988.324,1022616.29,1056239.013,1104760.757,1129395.663,1173190.644,1230373.842,1279944.348,1306317.412,1293413.239,1327633.683,1335459.061,1353970.077,1371058.297,1416045.053,1449359.748,1515098.057,1583854.307,,,,
Least developed countries: UN classification,LDC,23220.13446,26015.90918,25052.35699,27612.09665,31423.37884,32178.17031,33480.39295,46992.33535,44927.95182,46559.63637,47833.86626,48151.41881,52476.7086,52219.87125,50801.68243,49018.71014,50864.9612,53652.94919,57356.61816,60036.66002,59813.3232,60323.27561,62221.6386,64518.28558,67388.16374,67994.89544,71371.00373,75052.33902,74810.39079,74892.28096,76064.79928,81767.3328,79195.23706,80695.31605,95178.80506,102841.0963,104449.3232,98183.55232,106362.1104,111383.641,120315.0342,129719.6138,135335.3573,157399.5803,165086.6139,178134.6333,188258.4786,192312.4473,,,,
Low & middle income,LMY,2138306.791,2047918.745,2113226.086,2214668.767,2400074.087,2583287.283,2537665.477,2784390.621,3088585.67,3543120.569,3866990.406,4077305.656,4362464.709,4511569.269,4844770.339,5140683.878,5536093.494,5967412.155,6228134.374,6260973.15,6300054.995,6681383.527,6936973.441,7307929.135,7748663.667,8094977.463,8540878.477,9037812.03,9246692.845,9396999.31,9765200.376,10163887.4,10142288.94,10093941.62,10428058.12,10728330.59,10733325.84,10559314.79,10666537.58,10972827.07,11200796.12,11514508.1,12714352.9,13796672.47,14525323.03,15427427.8,16204173.71,16853462.44
Low income,LIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162643.3377,173631.8578,180229.383,183071.308,181021.455,185839.893,198461.707,206921.476,219748.642,211761.916,221120.1
Lower middle income,LMC,391549.1548,419907.3901,452279.3428,464106.173,528571.9909,558599.2565,543205.0634,602997.9955,622694.4827,662803.9609,713371.5332,751956.135,803590.46,838165.1594,875101.4418,942372.8198,1060941.154,1091259.381,1193712.723,1211992.5,1260213.775,1321120.124,1389712.864,1450793.521,1555642.183,1639180.369,1714143.761,1861484.047,1911662.063,1979833.091,2105875.118,2296942.618,2259472.03,2211333.856,2274678.391,2381758.197,2409027.56,2401130.132,2516547.864,2642184.342,2710748.376,2781445.513,2940453.437,3075829.711,3164317.15,3241365.065,3460096.412,3673809.199
Middle East & North Africa (all income levels),MEA,107465.8304,118368.6927,135915.2575,158234.5758,188208.0254,214161.0489,227983.0974,271998.6917,306880.289,324165.1861,363973.2725,390810.3496,462271.9541,468695.0982,462330.6464,545816.8462,574832.8767,605804.0962,637318.22,646459.5535,627942.117,634776.1075,677419.7682,725408.1009,768169.1462,818860.9953,830331.6815,887105.5254,916642.4506,961200.9491,1010355.792,1093343.107,1158678.697,1246746.569,1211556.837,1206626.679,1195100.969,1294964.38,1309929.407,1464427.451,1457914.859,1491618.256,1632247.706,1717498.122,1809033.776,1899223.641,1953278.888,2072551.73
Middle East & North Africa (developing only),MNA,84607.67698,87748.36091,95963.30405,108305.8984,127586.6157,151611.3802,154231.0629,196428.4997,200075.5088,210950.4938,224643.2887,235041.3007,272032.3935,280823.3733,286811.2193,340478.0229,354046.071,376647.2544,392761.6047,366249.2425,340588.0936,365302.6344,407441.3669,440213.0829,459086.5387,469473.5436,499196.3012,536913.8606,552855.7668,578975.5436,597625.1889,637511.1411,640556.4304,717998.5049,736006.0712,739326.5372,751419.638,822695.117,816263.199,854818.037,872889.013,893655.234,987746.787,1029682.599,1082102.364,1136439.97,1175841.885,1230256.498
Middle income,MIC,2095758.867,2005821.439,2070166.918,2169424.353,2351401.692,2530546.492,2484373.724,2723311.141,3019586.838,3466909.117,3784494.426,3996075.603,4275251.257,4422103.109,4755051.263,5045816.454,5440008.189,5867658.116,6123325.675,6150549.457,6190355.515,6575067.997,6824665.656,7192892.972,7629556.984,7968228.996,8402862.144,8895221.735,9102290.39,9252279.302,9619209.844,10010816.85,9990988.737,9946639.657,10274071.41,10564862.97,10569746.61,10396727.05,10492983.56,10792681.51,11017810.87,11333579,12528622.42,13598331.19,14318529.4,15207814.96,15992561.77,16632497.99
North America,NAC,3074863.841,3194551.054,3330490.411,3493998.274,3643256.175,3821399.035,3977818.587,4135118.219,4332347.814,4670617.563,4709608.774,4946342.96,5152241.343,4988902.162,4803931.348,5012888.009,5140921.314,5295364.353,5328506.699,5150154.82,4948282.803,4701281.017,4732542.192,4877484.034,4888767.393,4878822.489,5096759.633,5323655.258,5392239.159,5330050.506,5319801.241,5344062.113,5645885.549,5682141.178,5698224.64,5811872.304,5985075.715,5928420.565,6006512.997,6050296.977,5917555.244,5960173.118,6025742.745,6120336.677,6158598.155,6064000.556,6126225.879,6005493.571
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,5853177.456,6113350.248,6452246.865,6776397.309,7065192.864,7384150.304,7703658.888,8112334.462,8606106.724,9338949.072,9512424.817,9975831.066,10560660.54,10302876.04,9992116.361,10500083.65,10726657.05,11029063.83,11296940.4,11025050.68,10596305.29,10240274.21,10192965.61,10462377.21,10568245.92,10568666.42,10911980.36,11270583.45,11553851.23,11461320.22,11611337.63,11624910.71,11862213.29,11987254.32,12130248.98,12462611.2,12597549.46,12487799.82,12449578.68,12594208.82,12515735.02,12592257.98,12798684.41,12964656.5,12987945.62,12954000.2,13011256.73,12845735.69
Other small states,OSS,,,,,,,,,,,,4789.18878,7596.230029,7788.438275,7812.464305,8681.405748,9622.425282,11312.25611,10879.78755,10655.5446,10407.27562,10503.37974,9230.000115,10006.84177,10791.69211,9642.446975,9149.913346,9522.316821,11576.54244,11468.42531,7951.068068,10247.95436,11516.44383,11820.56118,14681.66519,14221.48763,15914.14077,14585.62814,14825.72078,15497.98018,19963.70337,22564.70701,23156.93553,22668.74716,23745.16251,24728.60342,25075.91527,27123.2272
Pacific island small states,PSS,356.4240931,443.1218455,464.6326147,727.0639989,628.1144606,632.4166144,714.1575374,761.4812296,817.4092295,955.0781524,1062.631998,1118.559998,1204.603075,1269.135383,1239.020306,955.0781524,1424.012921,1299.25046,1522.962459,1510.055998,1884.343382,1587.494767,1471.336613,1316.459075,1402.502152,1359.480613,1217.509537,1368.084921,1518.660305,1768.185228,1622.226542,1555.502571,1618.056294,1676.439768,1772.355476,1851.590192,1668.099272,1634.737286,1776.525724,1812.781351,2203.536443,1921.548233,2784.585251,3035.382333,2751.391519,2699.756826,2681.315864,2489.52986
Small states,SST,10104.74497,13319.36296,7207.898736,12630.21314,14013.44881,14136.74558,17442.6403,18744.96246,19084.02858,26373.95026,31567.06813,32426.06218,40544.12546,39531.77333,41737.39223,45655.92634,51010.22982,50937.09411,51171.89822,52307.42627,45817.59474,44652.74064,40193.23318,41081.29027,45137.13541,39724.21601,40535.38504,38832.31452,43841.57161,46144.36899,47434.47616,49189.1755,46658.87602,50417.849,55912.32329,56887.58288,56396.11348,54603.01809,59026.24268,62041.23012,67856.39674,71634.72069,74290.55146,78274.29762,78148.01172,84829.81197,89690.31885,102811.8252
South Asia,SAS,150105.2073,165267.9021,178480.3682,175444.1804,192534.4079,198869.7675,201119.5074,219922.9405,223562.0008,228226.9569,237602.9787,245538.653,254592.476,263279.599,285607.962,297195.682,351470.949,356080.368,373392.275,393978.813,423641.176,451444.37,488763.429,506497.041,556045.545,594307.023,635098.731,685501.646,744628.354,782042.755,829911.773,882456.216,917861.101,977600.198,1036972.595,1131962.563,1175882.222,1205405.239,1283446.333,1336053.115,1359910.617,1389855.339,1449891.463,1534610.164,1602354.322,1713919.13,1838124.087,1970176.424
Sub-Saharan Africa (all income levels),SSF,130709.3084,135253.2565,141796.4426,155481.1658,172562.7282,175886.3069,182522.3363,187489.8931,202939.9629,223991.0093,257813.906,271821.4055,288838.3408,306573.8345,297682.1357,313125.6125,315719.7924,321026.0693,361972.8396,374722.6439,400078.5408,422191.7129,428938.7914,460334.2633,471893.8402,478180.3043,470817.8451,501255.2392,477148.5283,462711.0331,470887.7283,474351.4927,493122.1484,495528.3593,489347.4693,504534.8262,514948.2771,511507.8232,519368.5604,552612.7749,554655.2363,560528.6929,586764.2017,639798.2762,647224.7395,640512.2177,673876.1008,687172.3405
Sub-Saharan Africa (developing only),SSA,130687.7873,135231.8042,141771.1734,155456.1031,172534.0553,175861.3627,182497.4306,187461.2951,202896.5679,223955.1663,257748.7336,271734.1848,288810.1552,306523.6187,297620.8254,313064.3713,315658.5628,320957.4936,361911.8172,374665.3635,400010.3192,422119.9055,428878.069,460255.2568,471829.6252,478101.3779,470720.461,501150.6215,477032.7479,462591.5031,470687.1676,474136.2081,493021.1788,495493.7282,489217.0396,504419.1985,514655.8837,511340.6564,518895.691,552158.4714,551551.2509,555533.1453,580727.2754,635104.7903,642498.1598,635745.1319,669064.9762,682342.8642
Upper middle income,UMC,1704166.484,1588454.343,1621587.043,1708632.877,1827595.516,1976605.597,1945503.054,2125426.449,2400360.542,2805651.22,3072928.145,3246040.683,3473726.639,3585994.073,3882463.597,4105951.894,4381251.118,4779368.798,4932077.08,4940881.923,4932014.514,5256138.525,5437013.203,5744431.902,6076194.74,6331262.163,6691219.837,7035842.978,7192703.415,7274131.147,7514534.833,7713900.507,7731508.241,7735257.221,7999332.878,8183087.922,8160729.768,7995635.254,7976556.54,8150667.682,8307248.123,8552318.432,9588265.784,10522513.8,11154165.57,11966282.51,12532340.09,12958632.71
World,WLD,9434402.595,9818839.874,10355747.35,10947007.09,11433441.98,12009447,12389685.57,13017193.61,13797116.84,14788798.31,15323175.56,15957192.52,16825776.48,16850822.09,16745791.87,17726098.32,18316474.32,18535291.54,19567247.68,19368760.3,18766979.93,18621308.36,18546065.19,19224955.23,19793703.26,20396015.35,20910777.81,21663799.92,22090275.69,22310882.41,22627267.5,22399312.12,22370584.84,22783786.07,23290125.43,23762167.33,24198533,24341546,24143528,24752250,25360972,25599327,27124799,28536594,29651362,30619450,31327181,32082583
Afghanistan,AFG,491.378,689.396,707.731,839.743,1008.425,1092.766,1283.45,1224.778,942.419,1672.152,1895.839,1532.806,1639.149,1917.841,2126.86,1987.514,2390.884,2159.863,2240.537,1760.16,1983.847,2101.191,2522.896,2830.924,3509.319,3142.619,3124.284,2867.594,2775.919,2676.91,2493.56,1426.463,1375.125,1320.12,1268.782,1199.109,1114.768,1056.096,832.409,781.071,645.392,359.366,583.053,704.064,700.397,696.73,715.065,814.074
Albania,ALB,2280.874,2464.224,2082.856,2016.85,2174.531,2552.232,2680.577,3072.946,3245.295,3744.007,4352.729,5643.513,5291.481,4345.395,4594.751,4950.45,5720.52,6494.257,7587.023,5170.47,7341.334,7308.331,7631.027,7825.378,7880.383,8056.399,7444.01,7326.666,8984.15,7488.014,3971.361,2387.217,2343.213,1928.842,2086.523,2016.85,1543.807,1752.826,2992.272,3028.942,3230.627,3751.341,4290.39,4004.364,4602.085,4231.718,4481.074,4176.713
Algeria,DZA,6065.218,5669.182,5427.16,5650.847,6596.933,8430.433,8441.434,9061.157,11276.025,15075.037,18668.697,28349.577,38312.816,31906.567,32031.245,39170.894,41891.808,62529.684,45621.147,66519.38,46438.888,39269.903,52625.117,71103.13,72786.283,76277.267,84120.98,83948.631,80046.943,78895.505,81458.738,82261.811,82474.497,86350.516,94692.941,96566.778,88195.017,107080.067,92118.707,87930.993,84293.329,90853.592,92533.078,89493.135,107127.738,107303.754,112741.915,111304.451
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.037,425.372,458.375,484.044,513.38,524.381,524.381,531.715,535.382,564.718,575.719,546.383,539.049,539.049
Angola,AGO,454.708,1180.774,1151.438,1224.778,1188.108,1554.808,993.757,1672.152,2786.92,3582.659,3410.31,4506.743,4880.777,4873.443,4415.068,3285.632,3534.988,5412.492,5504.167,5346.486,5280.48,4649.756,5115.465,5009.122,4701.094,4660.757,5815.862,5130.133,5009.122,4429.736,4367.397,4418.735,5801.194,3890.687,11012.001,10491.287,7381.671,7308.331,9156.499,9541.534,9732.218,12665.818,9064.824,18793.375,19156.408,22266.024,25151.953,24370.882
Antigua and Barbuda,ATG,47.671,102.676,84.341,91.675,150.347,348.365,564.718,990.09,1257.781,462.042,425.372,374.034,330.03,429.039,707.731,403.37,465.709,491.378,407.037,143.013,106.343,293.36,84.341,146.68,249.356,249.356,275.025,286.026,286.026,300.694,293.36,293.36,308.028,311.695,322.696,322.696,337.364,333.697,348.365,344.698,344.698,363.033,388.702,407.037,410.704,425.372,436.373,447.374
Argentina,ARG,51180.319,53695.881,50083.886,55727.399,58866.351,63138.406,65543.958,69082.613,77329.696,82734.854,88939.418,90156.862,94065.884,95569.354,94931.296,99786.404,100791.162,102639.33,110703.063,108737.551,102041.609,103424.068,105213.564,106522.683,100596.811,104212.473,114942.115,121473.042,117090.977,112613.57,117021.304,121447.373,118609.115,123350.546,122547.473,129217.746,134677.909,137673.848,145488.225,141076.824,140471.769,131406.945,142349.273,155000.423,158924.113,175528.289,183727.701,192378.154
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3681.668,2929.933,2966.603,3490.984,2607.237,3278.298,3406.643,3058.278,3465.315,3542.322,3003.273,3428.645,3644.998,4349.062,4378.398,5056.793,5548.171
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,179.683,447.374,612.389,649.059,1840.834,1928.842,1723.49,1771.161,1763.827,1785.829,1811.498,1851.835,1668.485,1686.82,2233.203,2236.87,2255.205,2255.205,2258.872,2273.54,2273.54,2357.881,2288.208
Australia,AUS,90589.568,94912.961,101029.517,108979.573,120966.996,120332.605,129265.417,134622.904,142257.598,147618.752,152774.554,157486.649,170992.21,172356.334,175883.988,174244.839,187787.07,202015.03,205069.641,220746.066,230360.94,234119.615,225003.453,236594.84,241229.928,239964.813,256106.947,261145.405,277771.583,287331.452,281530.258,294456.433,302116.796,303957.63,307433.946,329259.93,333623.66,346912.868,325523.257,329604.628,324859.53,341397.7,346476.495,349223.078,367393.063,377381.971,380814.283,399218.956
Austria,AUT,31862.563,33905.082,36992.696,38943.54,38188.138,39258.902,39966.633,42350.183,44693.396,50692.608,52155.741,56193.108,60164.469,57469.224,54392.611,58415.31,56218.777,57483.892,61594.599,52306.088,56130.769,53868.23,51983.392,54550.292,54700.639,54080.916,57744.249,53340.182,54117.586,60960.208,65888.656,60531.169,58213.625,57586.568,60622.844,61055.55,61359.911,63549.11,61755.947,61788.95,63637.118,65118.586,72316.907,72118.889,74385.095,72126.223,68807.588,67725.823
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44172.682,43285.268,42383.186,33586.053,31565.536,29966.724,31594.872,29299.33,30546.11,29438.676,30007.061,31162.166,32262.266,34491.802,39317.574,42236.506,47139.285
"Bahamas, The",BHS,546.383,726.066,707.731,1085.432,1316.453,1092.766,1705.155,1631.815,1745.492,2574.234,6732.612,6490.59,7873.049,7389.005,8254.417,6464.921,9717.55,6607.934,6930.63,7990.393,2801.588,2262.539,2016.85,1855.502,1510.804,1411.795,1422.796,1540.14,1947.177,1950.844,1782.162,1793.163,1716.156,1719.823,1730.824,1730.824,1741.825,1793.163,1796.83,1796.83,1796.83,2082.856,1870.17,2009.516,2108.525,2137.861,2148.862,2156.196
Bahrain,BHR,1771.161,1591.478,1195.442,1598.812,1228.445,649.059,1004.758,1103.767,1272.449,2592.569,3039.943,3681.668,5522.502,5405.158,5753.523,6574.931,7469.679,7766.706,8133.406,7887.717,8525.775,9838.561,8228.748,9207.837,10194.26,11012.001,11430.039,12163.439,11738.067,11884.747,11503.379,10590.296,15141.043,15254.72,16021.123,15621.42,17319.241,18404.673,18019.638,18643.028,13927.266,15698.427,16468.497,17275.237,18595.357,20186.835,21481.286,22478.71
Bangladesh,BGD,,,,,,,,,,,,3509.319,4554.414,4660.757,4869.776,5570.173,5812.195,6017.547,6648.271,7638.361,7931.721,8599.115,8236.082,9123.496,10234.597,11463.042,11862.745,13545.898,13454.223,15533.412,15940.449,17748.28,17407.249,18969.391,22816.074,24029.851,25063.945,24040.852,25232.627,27865.533,32449.283,33699.73,33824.408,39735.612,37652.756,46644.24,46930.266,46526.896
Barbados,BRB,194.351,260.357,190.684,179.683,205.352,267.691,337.364,440.04,480.377,429.039,484.044,502.379,480.377,491.378,568.385,531.715,590.387,630.724,601.388,674.728,685.729,645.392,685.729,748.068,847.077,916.75,942.419,946.086,990.09,1074.431,1206.443,979.089,1114.768,748.068,828.742,850.744,902.082,1140.437,1210.11,1188.108,1221.111,1228.445,1268.782,1294.451,1353.123,1371.458,1349.456,1353.123
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87487.286,74451.101,65914.325,62118.98,60157.135,59519.077,57597.569,55819.074,53468.527,52595.781,52390.429,53721.55,58220.959,59042.367,61807.285,60256.144,62815.71
